time,chamber_pressure_psia,chamber_temperature_C,fuel_pressure_psia,oxid_pressure_psia,fuel_line_drop_psia,fuel_bv_drop_psia,fuel_injector_drop_psia,oxid_line_drop_psia,oxid_bv_drop_psia,oxid_injector_drop_psia,fuel_volumetric_gpm,oxid_volumetric_gpm,fuel_line_velocity_mps,oxid_line_velocity_mps,fuel_injector_velocity_mps,oxid_injector_velocity_mps,fuel_line_reynolds_Re,oxid_line_reynolds_Re,fuel_volume_gal,oxid_volume_gal,throat_diameter_inches,thrust_lbf,exit_velocity_m_s,exit_pressure_psia,o_f_ratio,t_time_s
0.023,363.270058983721,2937.49987441349,573.097539157729,573.063486769147,11.1052277713833,2.19807122882183,198.43674759659,5.77850143667091,3.35629308691599,198.746068454409,9.26259593459424,9.42886845356025,6.23736167998446,6.34932833010678,4.41248163502719,4.49098923134991,36664.1884015553,11281288.7389401,0.996444958338764,0.996381141916648,1.24,746.766911317171,2933.83021474512,15.6953033617884,1.5,0.023
0.024,363.2313512938,2937.48981807905,573.015174236423,572.979652043196,11.102749631358,2.19760715991786,198.394852537523,5.77722340197839,3.3555844878343,198.70410808982,9.26161809784566,9.42787306370016,6.23670321215234,6.34865804214282,4.41201581672684,4.49051512513402,36660.3178245562,11280097.7921711,0.996290589888891,0.996224002404409,1.24,746.686709566801,2933.82484434928,15.6936559207626,1.5,0.024
0.025,363.192655066202,2937.47976472254,572.932838296781,572.895847185787,11.1002725115453,2.19714327866004,198.352974418713,5.77594589154602,3.35487617527446,198.662164691893,9.26064055329736,9.42687797128562,6.23604494108567,6.34798795447643,4.41155013762378,4.49004116059205,36656.4484041753,11278907.2012847,0.996136237733862,0.996066879479522,1.24,746.60653206851,2933.81947554822,15.6920089623154,1.5,0.025
0.026,363.153970295284,2937.4697143425,572.850531322703,572.812072180156,11.0977964113272,2.19667958493571,198.31111322999,5.77466890505684,3.35416814906448,198.620238250443,9.25966330080444,9.42588317616915,6.23538686668687,6.3473180670083,4.411084597649,4.48956733765375,36652.5801398389,11277716.9661043,0.995981901868809,0.995909773137031,1.24,746.52637881016,2933.81410834116,15.6903624862114,1.5,0.026
0.027,363.115296975406,2937.45966693747,572.768253298105,572.728327009554,11.0953213300865,2.1962160786323,198.269268961191,5.77339244219415,3.35346040903246,198.578328755292,9.25868634022211,9.42488867820333,6.23472898885844,6.34664837963917,4.41061919673352,4.48909365624891,36648.7130309739,11276527.0864535,0.995827582288864,0.995752683371982,1.24,746.446249779618,2933.80874272731,15.6887164922152,1.5,0.027
0.028,363.076635100935,2937.44962250597,572.686004206911,572.644611657243,11.0928472672062,2.19575275963735,198.227441602162,5.7721165026415,3.35275295500667,198.53643619627,9.25770967140568,9.4238944772409,6.23407130750295,6.34597889226986,4.41015393480842,4.4886201163074,36644.8470770076,11275337.5621562,0.995673278989163,0.995595610179424,1.24,746.366144964763,2933.80337870589,15.6870709800917,1.5,0.028
0.029,363.037984666238,2937.43958104655,572.603784033062,572.5609261065,11.09037422207,2.19528962783846,198.185631142759,5.77084108608271,3.35204578681552,198.494560563216,9.25673329421057,9.42290057313467,6.23341382252303,6.34530960480125,4.40968881180481,4.48814671775909,36640.9822773677,11274148.3930362,0.995518991964847,0.995438553554408,1.24,746.286064353481,2933.79801627612,15.6854259496058,1.5,0.029
0.03,362.999345665689,2937.42954255774,572.521592760505,572.477270340612,11.0879021940619,2.19482668312335,198.143837572842,5.76956619220182,3.35133890428752,198.452701845977,9.25575720849228,9.42190696573754,6.23275653382139,6.3446405171343,4.40922382765387,4.48767346053393,36637.1186314822,11272959.5789176,0.995364721211054,0.995281513491987,1.24,746.206007933666,2933.7926554372,15.6837814005227,1.5,0.03
0.031,362.960718093664,2937.41950703809,572.439430373206,572.393644342881,11.0854311825667,2.19436392537981,198.102060882283,5.76829182068315,3.35063230725136,198.410860034406,9.25478141410642,9.42091365490255,6.2320994413008,6.34397162917003,4.4087589822868,4.48720034456193,36633.2561387796,11271771.1196245,0.995210466722928,0.995124489987219,1.24,746.125975693221,2933.78729618835,15.6821373326076,1.5,0.031
0.032,362.922101944544,2937.40947448613,572.357296855137,572.310048096621,11.0829611869693,2.19390135449573,198.06030106096,5.76701797121127,3.34992599553584,198.369035118367,9.2538059109087,9.41992064048281,6.23144254486408,6.34330294080954,4.40829427563488,4.48672736977311,36629.3947986888,11270583.0149812,0.995056228495616,0.99496748303516,1.24,746.045967620058,2933.78193852879,15.6804937456262,1.5,0.032
0.033,362.883497212713,2937.3994449004,572.275192190287,572.226481585157,11.0804922066554,2.19343897035907,198.01855809876,5.76574464347099,3.34921996896991,198.32722708773,9.25283069875494,9.41892792233154,6.23078584441416,6.34263445195399,4.40782970762942,4.48625453609757,36625.534610639,11269395.264812,0.994902006524264,0.994810492630873,1.24,745.965983702096,2933.77658245774,15.6788506393439,1.5,0.033
0.034,362.84490389256,2937.38941827945,572.193116362654,572.14294479183,11.0780242410111,2.19297677285791,197.976831985576,5.76447183714738,3.34851422738264,198.285435932375,9.25185577750105,9.41793550030208,6.23012933985399,6.34196616250461,4.40736527820178,4.48578184346544,36621.6755740599,11268207.8689415,0.994747800804024,0.99465351876942,1.24,745.886023927265,2933.77122797441,15.6772080135266,1.5,0.034
0.035,362.806321978476,2937.37939462182,572.111069356249,572.059437699992,11.075557289423,2.19251476188038,197.935122711313,5.76319955192577,3.34780877060326,198.243661642187,9.25088114700304,9.41694337424784,6.22947303108663,6.3412980723627,4.40690098728336,4.48530929180692,36617.8176883815,11267020.8271943,0.994593611330049,0.994496561445868,1.24,745.8060882835,2933.76587507802,15.6755658679403,1.5,0.035
0.036,362.767751464858,2937.36937392606,572.029051155095,571.975960293008,11.0730913512781,2.19205293731474,197.89343026588,5.76192778749172,3.34710359846111,198.201904207063,9.24990680711702,9.41595154402236,6.22881691801517,6.34063018142963,4.40643683480562,4.48483688105223,36613.9609530342,11265834.1393951,0.994439438097493,0.994339620655285,1.24,745.726176758747,2933.7605237678,15.673924202351,1.5,0.036
0.037,362.729192346106,2937.3593561907,571.947061743228,571.892512554254,11.0706264259639,2.19159129904932,197.851754639196,5.76065654353106,3.34639871078569,198.160163616905,9.2489327576992,9.41496000947926,6.22816100054279,6.33996248960682,4.40597282070007,4.48436461113167,36610.105367449,11264647.8053689,0.994285281101515,0.994182696392741,1.24,745.64628934096,2933.75517404295,15.6722830165251,1.5,0.037
0.038,362.690644616623,2937.3493414143,571.865101104695,571.809094467121,11.0681625128686,2.19112984697253,197.810095821189,5.75938581972988,3.34569410740662,198.118439861624,9.24795899860589,9.41396877047229,6.22750527857273,6.33929499679579,4.40550894489824,4.48389248197556,36606.250931057,11263461.8249406,0.994131140337274,0.99402578865331,1.24,745.566426018102,2933.7498259027,15.6706423102288,1.5,0.038
0.039,362.652108270817,2937.3393295954,571.783169223555,571.725706015013,11.0656996113807,2.19066858097289,197.768453801792,5.75811561577449,3.34498978815366,198.076732931139,9.24698552969351,9.41297782685526,6.22684975200829,6.33862770289811,4.40504520733174,4.48342049351429,36602.3976432898,11262276.1979353,0.993977015799932,0.993868897432067,1.24,745.486586778142,2933.74447934627,15.669002083229,1.5,0.039
0.04,362.6135833031,2937.32932073254,571.70126608388,571.642347181343,11.0632377208892,2.19020750093899,197.726828570949,5.75684593135148,3.34428575285671,198.035042815378,9.24601235081857,9.41198717848212,6.22619442075286,6.33796060781541,4.40458160793222,4.48294864567828,36598.5455035796,11261090.9241783,0.993822907484656,0.993712022724091,1.24,745.406771609059,2933.73913437288,15.6673623352923,1.5,0.04
0.041,362.575069707886,2937.31931482429,571.619391669754,571.559017949542,11.0607768407837,2.18974660675951,197.685220118609,5.75557676614766,3.34358200134579,197.993369504275,9.24503946183766,9.4109968252069,6.22553928470988,6.33729371144941,4.40411814663136,4.48247693839801,36594.6945113587,11259906.003495,0.993668815386611,0.993555164524462,1.24,745.326980498841,2933.73379098175,15.6657230661855,1.5,0.041
0.042,362.536567479596,2937.30931186919,571.537545965271,571.475718303049,11.058316970454,2.18928589832323,197.643628434734,5.75430811985013,3.34287853345107,197.951712987773,9.24406686260751,9.41000676688374,6.22488434378284,6.33662701370188,4.40365482336091,4.48200537160401,36590.8446660599,11258721.4357107,0.993514739500968,0.993398322828262,1.24,745.247213435483,2933.7284491721,15.6640842756759,1.5,0.042
0.043,362.498076612652,2937.29931186579,571.45572895454,571.392448225317,11.0558581092909,2.18882537551901,197.602053509288,5.75303999214621,3.34217534900287,197.910073255825,9.24309455298492,9.40901700336688,6.22422959787534,6.33596051447468,4.40319163805265,4.48153394522685,36586.9959671164,11257537.2206512,0.993360679822899,0.993241497630577,1.24,745.167470406991,2933.72310894316,15.6624459635305,1.5,0.043
0.044,362.45959710148,2937.28931481263,571.37394062168,571.309207699814,11.0534002566851,2.18836503823581,197.560495332247,5.75177238272348,3.34147244783161,197.868450298389,9.2421225328268,9.40802753451064,6.22357504689101,6.3352942136697,4.40272859063842,4.48106265919714,36583.1484139619,11256353.3581421,0.993206636347577,0.993084688926496,1.24,745.087751401376,2933.71777029415,15.6608081295168,1.5,0.044
0.045,362.421128940512,2937.27932070829,571.292180950822,571.225996710017,11.0509434120283,2.18790488636266,197.518953893593,5.75050529126977,3.34076982976786,197.826844105431,9.24115080199015,9.40703836016949,6.22292069073356,6.33462811118894,4.4022656810501,4.48059151344556,36579.3020060302,11255169.8480093,0.993052609070181,0.992927896711107,1.24,745.008056406657,2933.71243322429,15.6591707734024,1.5,0.045
0.046,362.382672124182,2937.2693295513,571.210449926111,571.142815239417,11.0484875747122,2.18744491978869,197.477429183318,5.74923871747315,3.34006749464232,197.785254666928,9.24017936033208,9.40604948019794,6.22226652930677,6.33396220693443,4.40180290921961,4.48012050790283,36575.4567427559,11253986.6900787,0.992898597985888,0.992771120979504,1.24,744.928385410867,2933.7070977328,15.6575338949549,1.5,0.046
0.047,362.344226646928,2937.25934134023,571.1287475317,571.059663271519,11.0460327441295,2.18698513840312,197.435921191419,5.74797266102194,3.33936544228585,197.743681972862,9.2392082077098,9.40506089445065,6.22161256251447,6.3332965008083,4.40134027507893,4.47964964249971,36571.6126235735,11252803.8841765,0.99274460308988,0.992614361726782,1.24,744.848738402041,2933.70176381892,15.6558974939423,1.5,0.047
0.048,362.305792503193,2937.24935607363,571.047073751759,570.976540789839,11.043578919673,2.18652554209525,197.394429907904,5.74670712160475,3.33866367252941,197.702126013225,9.2382373439806,9.40407260278235,6.22095879026059,6.33263099271273,4.40087777856009,4.47917891716702,36567.7696479185,11251621.4301288,0.992590624377342,0.992457618948039,1.24,744.769115368226,2933.69643148186,15.6542615701324,1.5,0.048
0.049,362.267369687423,2937.23937375006,570.965428570466,570.893447777905,11.0411261007362,2.18606613075447,197.352955322787,5.74544209891036,3.33796218520412,197.660586778014,9.23726676900189,9.40308460504789,6.22030521244909,6.33196568254997,4.40041541959515,4.47870833183561,36563.9278152262,11250439.3277619,0.99243666184346,0.992300892638373,1.24,744.689516297475,2933.69110072084,15.6526261232936,1.5,0.049
0.05,362.228958194067,2937.22939436807,570.883811972012,570.810384219259,11.0386742867128,2.18560690427026,197.311497426091,5.74417759262787,3.33726098014121,197.619064257238,9.23629648263118,9.40209690110223,6.21965182898402,6.33130057022235,4.39995319811623,4.47823788643639,36560.0871249326,11249257.5769023,0.992282715483422,0.992144182792888,1.24,744.609941177853,2933.68577153511,15.6509911531942,1.5,0.05
0.051,362.190558017579,2937.21941792623,570.802223940602,570.727350097455,11.0362234769974,2.18514786253219,197.270056207845,5.74291360244658,3.33656005717207,197.57755844091,9.23532648472604,9.40110949080037,6.21899863976947,6.33063565563223,4.3994911140555,4.47776758090033,36556.247576474,11248076.1773766,0.99212878529242,0.991987489406688,1.24,744.530389997427,2933.68044392388,15.6493566596025,1.5,0.051
